grid_size,num_players,pct_histories,success_histories
5,20,"[[0.         0.30434783 0.30434783 0.30434783 0.30434783 0.30434783
  0.30434783 0.30434783 0.30434783 0.30434783 0.30434783]
 [0.         0.13846154 0.19230769 0.19230769 0.19230769 0.19230769
  0.19230769 0.19230769 0.19230769 0.19230769 0.19230769]
 [0.         0.09677419 0.11290323 0.11290323 0.11290323 0.11290323
  0.11290323 0.11290323 0.11290323 0.11290323 0.11290323]
 [0.         0.13939394 0.15151515 0.16969697 0.26060606 0.26060606
  0.26060606 0.26060606 0.26060606 0.26060606 0.26060606]
 [0.         0.22395833 0.22395833 0.22395833 0.22395833 0.22395833
  0.22395833 0.22395833 0.22395833 0.22395833 0.22395833]
 [0.         0.         0.         0.         0.         0.
  0.         0.         0.         0.         0.        ]
 [0.         0.02857143 0.02857143 0.02857143 0.02857143 0.02857143
  0.02857143 0.02857143 0.02857143 0.02857143 0.02857143]
 [0.         0.12653061 0.24897959 0.24897959 0.24897959 0.24897959
  0.24897959 0.24897959 0.24897959 0.24897959 0.24897959]
 [0.         0.         0.         0.         0.         0.
  0.         0.         0.         0.         0.        ]
 [0.         0.49494949 0.49494949 0.49494949 0.49494949 0.49494949
  0.49494949 0.49494949 0.49494949 0.49494949 0.49494949]]",[]
7,40,"[[0.         0.         0.         0.         0.         0.
  0.         0.         0.         0.         0.        ]
 [0.         0.         0.         0.         0.         0.
  0.         0.         0.         0.         0.        ]
 [0.         0.22839506 0.22839506 0.22839506 0.22839506 0.22839506
  0.22839506 0.22839506 0.22839506 0.22839506 0.22839506]
 [0.         0.33103448 0.33103448 0.33103448 0.33103448 0.33103448
  0.33103448 0.33103448 0.33103448 0.33103448 0.33103448]
 [0.         0.4047619  0.45238095 0.45238095 0.45238095 0.45238095
  0.45238095 0.45238095 0.45238095 0.45238095 0.45238095]
 [0.         0.1826484  0.20091324 0.20091324 0.20091324 0.20091324
  0.20091324 0.20091324 0.20091324 0.20091324 0.20091324]
 [0.         0.         0.         0.         0.         0.
  0.         0.         0.         0.         0.        ]
 [0.         0.0472103  0.15450644 0.15450644 0.15450644 0.15450644
  0.15450644 0.15450644 0.15450644 0.15450644 0.15450644]
 [0.         0.15846995 0.15846995 0.15846995 0.15846995 0.15846995
  0.15846995 0.15846995 0.15846995 0.15846995 0.15846995]
 [0.         0.74193548 0.74193548 0.74193548 0.74193548 0.74193548
  0.74193548 0.74193548 0.74193548 0.74193548 0.74193548]]",[]
8,52,"[[0.         0.11383929 0.12723214 0.12723214 0.12723214 0.12723214
  0.12723214 0.12723214 0.12723214 0.12723214 0.12723214]
 [0.         0.11555556 0.11555556 0.11555556 0.11555556 0.11555556
  0.11555556 0.11555556 0.11555556 0.11555556 0.11555556]
 [0.         0.52777778 0.88888889 0.88888889 0.88888889 0.88888889
  0.88888889 0.88888889 0.88888889 0.88888889 0.88888889]
 [0.         0.         0.         0.         0.         0.
  0.         0.         0.         0.         0.        ]
 [0.         0.         0.         0.         0.         0.
  0.         0.         0.         0.         0.        ]
 [0.         0.         0.         0.         0.         0.
  0.         0.         0.         0.         0.        ]
 [0.         0.43209877 0.46296296 0.46296296 0.46296296 0.46296296
  0.46296296 0.46296296 0.46296296 0.46296296 0.46296296]
 [0.         0.         0.         0.         0.         0.
  0.         0.         0.         0.         0.        ]
 [0.         0.10613208 0.10613208 0.10613208 0.10613208 0.10613208
  0.10613208 0.10613208 0.10613208 0.10613208 0.10613208]
 [0.         0.         0.         0.         0.         0.
  0.         0.         0.         0.         0.        ]]","[[0 1 1 1 1 1 1 1 1 1 1]
 [0 1 1 1 1 1 1 1 1 1 1]
 [0 1 1 1 1 1 1 1 1 1 1]
 [0 0 0 0 0 0 0 0 0 0 0]
 [0 0 0 0 0 0 0 0 0 0 0]
 [0 0 0 0 0 0 0 0 0 0 0]
 [0 1 1 1 1 1 1 1 1 1 1]
 [0 0 0 0 0 0 0 0 0 0 0]
 [0 1 1 1 1 1 1 1 1 1 1]
 [0 0 0 0 0 0 0 0 0 0 0]]"
10,80,"[[0.         0.         0.         0.         0.         0.
  0.         0.         0.         0.         0.        ]
 [0.         0.0425     0.0425     0.0425     0.0425     0.0425
  0.0425     0.0425     0.0425     0.0425     0.0425    ]
 [0.         0.         0.         0.         0.         0.
  0.         0.         0.         0.         0.        ]
 [0.         0.39597315 0.39597315 0.39597315 0.39597315 0.39597315
  0.39597315 0.39597315 0.39597315 0.39597315 0.39597315]
 [0.         0.         0.         0.         0.         0.
  0.         0.         0.         0.         0.        ]
 [0.         0.         0.         0.         0.         0.
  0.         0.         0.         0.         0.        ]
 [0.         0.07924528 0.11886792 0.2        0.2        0.2
  0.2        0.2        0.2        0.2        0.2       ]
 [0.         0.24025974 0.24025974 0.24025974 0.24025974 0.24025974
  0.24025974 0.24025974 0.24025974 0.24025974 0.24025974]
 [0.         0.0719755  0.0719755  0.0719755  0.0719755  0.0719755
  0.0719755  0.0719755  0.0719755  0.0719755  0.0719755 ]
 [0.         0.         0.         0.         0.         0.
  0.         0.         0.         0.         0.        ]
 [0.         0.         0.         0.         0.         0.
  0.         0.         0.         0.         0.        ]]",[]
